id,lm,mu_eff_out,mu_t_out,ur,uz,x,y,z
0,0.5,1.4628981735983,1.4595648405983,0.26554888960142,0.062113254733316,0.015625,0.515625,0
32,0.5,1.5023753261165,1.4990419931165,0.29871201998324,0.063742454857469,0.015625,0.546875,0
64,0.5,1.5467424657264,1.5434091327264,0.33382592274045,0.065467490283042,0.015625,0.578125,0
96,0.5,1.5932638719448,1.5899305389448,0.37089059787306,0.067288361010036,0.015625,0.609375,0
128,0.5,1.6419186401252,1.6385853071252,0.40990604538108,0.069205067038451,0.015625,0.640625,0
160,0.5,1.6926884492276,1.6893551162276,0.45087226526449,0.071217608368286,0.015625,0.671875,0
192,0.5,1.7455574245679,1.7422240915679,0.49378925752331,0.073325984999542,0.015625,0.703125,0
224,0.5,1.8005119785014,1.7971786455014,0.53865702215753,0.075530196932219,0.015625,0.734375,0
256,0.5,1.8575406377817,1.8542073047817,0.58547555916714,0.077830244166317,0.015625,0.765625,0
288,0.5,1.9166338646886,1.9133005316886,0.63424486855216,0.080226126701836,0.015625,0.796875,0
320,0.5,1.9777838775126,1.9744505445126,0.68496495031258,0.082717844538775,0.015625,0.828125,0
352,0.5,2.0409844746568,2.0376511416568,0.7376358044484,0.085305397677135,0.015625,0.859375,0
384,0.5,2.1062308654837,2.1028975324837,0.79225743095962,0.087988786116915,0.015625,0.890625,0
416,0.5,2.1735195100931,2.1701861770931,0.84882982984624,0.090768009858117,0.015625,0.921875,0
448,0.5,2.242847969444,2.239514636444,0.90735300110826,0.093643068900739,0.015625,0.953125,0
480,0.5,2.3142147666278,2.3108814336278,0.96782694474569,0.096613963244782,0.015625,0.984375,0
512,0.5,2.3876192596209,2.3842859266209,1.0302516607585,0.099680692890245,0.015625,1.015625,0
544,0.5,2.4630615254881,2.4597281924881,1.0946271491467,0.10284325783713,0.015625,1.046875,0
576,0.5,2.5405422557424,2.5372089227424,1.1609534099104,0.10610165808543,0.015625,1.078125,0
608,0.5,2.620062662384,2.616729329384,1.2292304430494,0.10945589363516,0.015625,1.109375,0
640,0.5,2.7016243940109,2.6982910610109,1.2994582485638,0.11290596448631,0.015625,1.140625,0
672,0.5,2.7852294613251,2.7818961283251,1.3716368264536,0.11645187063887,0.015625,1.171875,0
704,0.5,2.8708801713136,2.8675468383136,1.4457661767189,0.12009361209286,0.015625,1.203125,0
736,0.5,2.9585790693772,2.9552457363772,1.5218462993595,0.12383118884827,0.015625,1.234375,0
768,0.5,3.0483288886878,3.0449955556878,1.5998771943755,0.1276646009051,0.015625,1.265625,0
800,0.5,3.1401325060804,3.1367991730804,1.679858861767,0.13159384826335,0.015625,1.296875,0
832,0.5,3.2339929038216,3.2306595708216,1.7617913015338,0.13561893092302,0.015625,1.328125,0
864,0.5,3.3299131366355,3.3265798036355,1.845674513676,0.13973984888411,0.015625,1.359375,0
896,0.5,3.4278963034133,3.4245629704133,1.9315084981936,0.14395660214663,0.015625,1.390625,0
928,0.5,3.5279455230797,3.5246121900797,2.0192932550867,0.14826919071056,0.015625,1.421875,0
960,0.5,3.6300639141318,3.6267305811318,2.1090287843551,0.15267761457591,0.015625,1.453125,0
992,0.5,3.7311500288426,3.7278166958426,2.2007150859989,0.15718187374269,0.015625,1.484375,0
1,0.5,1.4520591782832,1.4487258452832,0.26299150863077,0.18574157960231,0.046875,0.515625,0
33,0.5,1.4912129665615,1.4878796335615,0.2958352599382,0.19061348988696,0.046875,0.546875,0
65,0.5,1.5352155194948,1.5318821864948,0.33061099661665,0.19577198312953,0.046875,0.578125,0
97,0.5,1.581355930552,1.578022597552,0.36731871866612,0.20121705933002,0.046875,0.609375,0
129,0.5,1.6296139346924,1.6262806016924,0.40595842608662,0.20694871848843,0.046875,0.640625,0
161,0.5,1.6799718284192,1.6766384954192,0.44653011887814,0.21296696060477,0.046875,0.671875,0
193,0.5,1.7324143283546,1.7290809953546,0.48903379704069,0.21927178567902,0.046875,0.703125,0
225,0.5,1.7869284089739,1.7835950759739,0.53346946057427,0.2258631937112,0.046875,0.734375,0
257,0.5,1.8435031280503,1.8401697950503,0.57983710947887,0.23274118470129,0.046875,0.765625,0
289,0.5,1.9021294467216,1.8987961137216,0.62813674375449,0.23990575864931,0.046875,0.796875,0
321,0.5,1.9628000496053,1.9594667166053,0.67836836340114,0.24735691555524,0.046875,0.828125,0
353,0.5,2.0255091690821,2.0221758360821,0.73053196841881,0.2550946554191,0.046875,0.859375,0
385,0.5,2.0902524167531,2.0869190837531,0.78462755880751,0.26311897824088,0.046875,0.890625,0
417,0.5,2.1570266241513,2.1536932911513,0.84065513456724,0.27142988402058,0.046875,0.921875,0
449,0.5,2.2258296940392,2.2224963610392,0.89861469569799,0.28002737275819,0.046875,0.953125,0
481,0.5,2.2966604630222,2.2933271300222,0.95850624219976,0.28891144445373,0.046875,0.984375,0
513,0.5,2.3695185757545,2.3661852427545,1.0203297740726,0.29808209910719,0.046875,1.015625,0
545,0.5,2.4444043706576,2.4410710376576,1.0840852913164,0.30753933671857,0.046875,1.046875,0
577,0.5,2.5213187768238,2.5179854438238,1.1497727939312,0.31728315728788,0.046875,1.078125,0
609,0.5,2.6002632215954,2.5969298885954,1.2173922819171,0.3273135608151,0.046875,1.109375,0
641,0.5,2.6812395481934,2.6779062151934,1.286943755274,0.33763054730024,0.046875,1.140625,0
673,0.5,2.7642499426998,2.7609166096998,1.3584272140019,0.3482341167433,0.046875,1.171875,0
705,0.5,2.8492968696633,2.8459635366633,1.4318426581009,0.35912426914429,0.046875,1.203125,0
737,0.5,2.9363830155905,2.9330496825905,1.5071900875708,0.37030100450319,0.046875,1.234375,0
769,0.5,3.0255112395991,3.0221779065991,1.5844695024118,0.38176432282002,0.046875,1.265625,0
801,0.5,3.1166845305356,3.1133511975356,1.6636809026239,0.39351422409476,0.046875,1.296875,0
833,0.5,3.2099059698975,3.2065726368975,1.7448242882069,0.40555070832743,0.046875,1.328125,0
865,0.5,3.3051786999402,3.3018453669402,1.827899659161,0.41787377551802,0.046875,1.359375,0
897,0.5,3.4025058963982,3.3991725633982,1.9129070154861,0.43048342566652,0.046875,1.390625,0
929,0.5,3.5018907452911,3.4985574122911,1.9998463571822,0.44337965877295,0.046875,1.421875,0
961,0.5,3.6033364233374,3.6000030903374,2.0887176842494,0.4565624748373,0.046875,1.453125,0
993,0.5,3.7038102700257,3.7004769370257,2.1795209966875,0.47003187385957,0.046875,1.484375,0
2,0.5,1.4240635227747,1.4207301897747,0.25790137566623,0.30758111152305,0.078125,0.515625,0
34,0.5,1.4624355708355,1.4591022378355,0.29010944461995,0.3156488128089,0.078125,0.546875,0
66,0.5,1.5055757687465,1.5022424357465,0.32421210586507,0.32419108475863,0.078125,0.578125,0
98,0.5,1.5508160367884,1.5474827037884,0.36020935940159,0.33320792737222,0.078125,0.609375,0
130,0.5,1.5981377127306,1.5948043797306,0.3981012052295,0.3426993406497,0.078125,0.640625,0
162,0.5,1.6475246374442,1.6441913044442,0.43788764334881,0.35266532459104,0.078125,0.671875,0
194,0.5,1.6989630033186,1.6956296703186,0.47956867375951,0.36310587919626,0.078125,0.703125,0
226,0.5,1.7524411848569,1.7491078518569,0.52314429646161,0.37402100446535,0.078125,0.734375,0
258,0.5,1.8079495595329,1.8046162265329,0.5686145114551,0.38541070039832,0.078125,0.765625,0
290,0.5,1.865480325386,1.862146992386,0.61597931873999,0.39727496699516,0.078125,0.796875,0
322,0.5,1.9250273203874,1.9216939873874,0.66523871831628,0.40961380425587,0.078125,0.828125,0
354,0.5,1.9865858473468,1.9832525143468,0.71639271018396,0.42242721218045,0.078125,0.859375,0
386,0.5,2.050152507066,2.046819174066,0.76944129434304,0.43571519076891,0.078125,0.890625,0
418,0.5,2.1157250415624,2.1123917085624,0.82438447079351,0.44947774002125,0.078125,0.921875,0
450,0.5,2.183302188477,2.179968855477,0.88122223953538,0.46371485993745,0.078125,0.953125,0
482,0.5,2.2528835472212,2.2495502142212,0.93995460056864,0.47842655051753,0.078125,0.984375,0
514,0.5,2.3244694569898,2.3211361239898,1.0005815538933,0.49361281176149,0.078125,1.015625,0
546,0.5,2.3980608864449,2.3947275534449,1.0631030995094,0.50927364366932,0.078125,1.046875,0
578,0.5,2.4736593346484,2.4703260016484,1.1275192374168,0.52540904624102,0.078125,1.078125,0
610,0.5,2.5512667426588,2.5479334096588,1.1938299676156,0.54201901947659,0.078125,1.109375,0
642,0.5,2.6308854151121,2.6275520821121,1.2620352901059,0.55910356337604,0.078125,1.140625,0
674,0.5,2.7125179510448,2.7091846180448,1.3321352048875,0.57666267793936,0.078125,1.171875,0
706,0.5,2.7961671831996,2.7928338501996,1.4041297119606,0.59469636316656,0.078125,1.203125,0
738,0.5,2.8818361250529,2.8785027920529,1.478018811325,0.61320461905763,0.078125,1.234375,0
