grid,n,h,cells,L2(mu_t),order_L2,Linf(mu_t),order_Linf,mu_eff_check,file
16x16,16,0.0625,144,0.00913327693574961,,0.016960758298320666,,4.440892098500626e-16,n16/mms_rz_viscosity_n16_csv_vpp_0000.csv
32x32,32,0.03125,784,0.0025226678612720573,1.8561823076587571,0.004953064528579354,1.7758073511224262,9.992007221626409e-15,n32/mms_rz_viscosity_n32_csv_vpp_0000.csv
64x64,64,0.015625,3600,0.0006577653429221499,1.939305370187641,0.0013105973247418135,1.9180969246007735,9.992007221626409e-14,n64/mms_rz_viscosity_n64_csv_vpp_0000.csv
128x128,128,0.0078125,15376,0.0001676424026224799,1.9721858926520366,0.0003354339863794742,1.966123715764215,1.0036416142611415e-13,n128/mms_rz_viscosity_n128_csv_vpp_0000.csv
