id,mu_eff_out,mu_t_out,p,ur,uz,x,y,z
0,0.010027753980196,2.7753980196467e-05,0.00587073759313,2.4014947983841e-06,-2.8870868610714e-06,0.0078125,0.0078125,0
64,0.01005756427975,5.7564279750298e-05,0.0058607418501449,-1.8876491913707e-06,-5.5723559615445e-07,0.0078125,0.0234375,0
128,0.010130171801444,0.00013017180144417,0.0058613152722279,-1.4922176124467e-05,2.3561942682949e-07,0.0078125,0.0390625,0
192,0.010225295571489,0.00022529557148925,0.0058678245795446,-3.4225188097359e-05,6.4860708323693e-07,0.0078125,0.0546875,0
256,0.010343936223471,0.00034393622347088,0.0058788278203522,-5.886860087048e-05,9.4981874567985e-07,0.0078125,0.0703125,0
320,0.010484659379587,0.00048465937958665,0.0058940354220991,-8.8229781316127e-05,1.1905513666142e-06,0.0078125,0.0859375,0
384,0.010645037029836,0.00064503702983554,0.0059133500181476,-0.00012169875327957,1.3847967541972e-06,0.0078125,0.1015625,0
448,0.010822410251175,0.00082241025117454,0.0059366890048381,-0.00015867807348566,1.5409055970928e-06,0.0078125,0.1171875,0
512,0.011014125857901,0.0010141258579009,0.0059639894236503,-0.000198597595089,1.6647747764987e-06,0.0078125,0.1328125,0
576,0.011217599100194,0.001217599100194,0.005995210451256,-0.00024091418272938,1.7608424667167e-06,0.0078125,0.1484375,0
640,0.011430333473766,0.0014303334737663,0.0060303265541161,-0.00028510892099453,1.8328226729723e-06,0.0078125,0.1640625,0
704,0.011649930114405,0.0016499301144053,0.0060693216772833,-0.0003306859207788,1.8839556552984e-06,0.0078125,0.1796875,0
768,0.011874092815618,0.001874092815618,0.0061121859593392,-0.00037717204852963,1.917032421133e-06,0.0078125,0.1953125,0
832,0.01210063068278,0.0021006306827801,0.006158913764631,-0.00042411687092714,1.9343974290754e-06,0.0078125,0.2109375,0
896,0.012327459664748,0.0023274596647482,0.0062095023237123,-0.00047109263052701,1.9379780713558e-06,0.0078125,0.2265625,0
960,0.01255260356705,0.0025526035670502,0.0062639507547302,-0.00051769423218841,1.9293342543006e-06,0.0078125,0.2421875,0
1024,0.012774194773793,0.0027741947737935,0.0063222593656033,-0.00056353923354275,1.9097171734433e-06,0.0078125,0.2578125,0
1088,0.012990474767956,0.0029904747679562,0.0063844291610535,-0.00060826783317085,1.8801299539997e-06,0.0078125,0.2734375,0
1152,0.013199794500686,0.0031997945006864,0.0064504614969278,-0.00065154285439388,1.8413852530924e-06,0.0078125,0.2890625,0
1216,0.013400614645943,0.0034006146459432,0.0065203578411383,-0.0006930497254954,1.7941566929982e-06,0.0078125,0.3046875,0
1280,0.013591505768467,0.0035915057684668,0.0065941196122011,-0.00073249645806481,1.7390225037762e-06,0.0078125,0.3203125,0
1344,0.013771148427558,0.0037711484275578,0.0066717480740067,-0.00076961362514827,1.6765009204185e-06,0.0078125,0.3359375,0
1408,0.013938333235328,0.0039383332353278,0.0067532442709793,-0.00080415434068022,1.6070776745991e-06,0.0078125,0.3515625,0
1472,0.014091960885101,0.0040919608851009,0.006838608992127,-0.00083589424143088,1.5312264017355e-06,0.0078125,0.3671875,0
1536,0.014231042163032,0.0042310421630317,0.0069278427560556,-0.00086463147247164,1.4494230260805e-06,0.0078125,0.3828125,0
1600,0.01435469795352,0.0043546979535197,0.0070209458120026,-0.00089018667692054,1.3621552565916e-06,0.0078125,0.3984375,0
1664,0.014462159246437,0.004462159246437,0.00711791815446,-0.00091240299045027,1.269928278619e-06,0.0078125,0.4140625,0
1728,0.014552767151361,0.0045527671513606,0.0072187595509819,-0.00093114604067721,1.1732676039329e-06,0.0078125,0.4296875,0
1792,0.014625972920748,0.0046259729207479,0.0073234695842542,-0.00094630395105788,1.0727198769516e-06,0.0078125,0.4453125,0
1856,0.014681337980237,0.0046813379802366,0.0074320477102571,-0.00095778734827975,9.6885225331912e-07,0.0078125,0.4609375,0
1920,0.014718533960127,0.0047185339601265,0.0075444933342078,-0.00096552937137078,8.6225078903459e-07,0.0078125,0.4765625,0
1984,0.014737342718014,0.0047373427180139,0.0076608059047385,-0.0009694856799603,7.5351812339309e-07,0.0078125,0.4921875,0
