id,lm,mu_eff_out,mu_t_out,p,ur,uz,x,y,z
0,0.040922610131261,0.0090946081094258,0.0057612751094258,0.36579753169732,0.16870765359109,-0.19469809653846,-10.231699310924,0.12503062306913,0
1,0.04094732676015,0.0075987351798913,0.0042654021798913,0.28664620263021,0.28950145295205,-0.092560340452992,-10.225806030949,0.37503063106913,0
202,0.040996506879658,0.0070111046163398,0.0036777716163398,0.19908661994784,0.3508686058704,-0.019487306956506,-10.21400255559,0.62509227972422,0
203,0.041071196677498,0.006738632175175,0.003405299175175,0.12848731913311,0.36640058656801,0.027162743451354,-10.196283149011,0.87509228772422,0
292,0.040500031703592,0.0063359718678742,0.0030026388678742,0.052618630711124,0.32247805124356,0.056445043192151,-10.154999052333,1.2602531779641,0
293,0.040473404864294,0.0057840870508139,0.0024507540508139,0.021767017820317,0.23420177044369,0.056983658541843,-10.079976265047,1.7789074742176,0
2,0.045,0.0080655396434684,0.0047322066434684,0.270400217783,0.11135092224702,-0.52753559492003,-10.031347598699,0.12502381883161,0
3,0.045,0.006875069337969,0.003541736337969,0.21921377762653,0.2173205394424,-0.35416814554674,-10.025334147122,0.37502382683161,0
204,0.045,0.0060043485411305,0.0026710155411305,0.15337844007139,0.29225439777127,-0.21603488067311,-10.013288378896,0.62507177756331,0
205,0.045,0.0053102424164662,0.0019769094164662,0.097896597228301,0.33810062105537,-0.11446962887057,-9.9952058328142,0.87507178556331,0
294,0.040448810666129,0.0052994490782812,0.0019661160782812,0.011147466617404,0.16455616215502,0.049875498733509,-9.9794518258133,2.2932281934203,0
306,0.045,0.0045287090104996,0.0011953760104996,0.03935690280866,0.36434951174819,-0.0090810874268388,-9.9542566112903,1.2546267975188,0
307,0.045,0.0040507767142967,0.0007174437142967,0.015614532715605,0.33406508795429,0.039527230122791,-9.8799920299871,1.7620520100979,0
295,0.040426252773398,0.0049081488103802,0.0015748158103802,0.0063800937218524,0.1173781053318,0.041386121490176,-9.8536706340712,2.8019622127964,0
4,0.045,0.0063675154601086,0.0030341824601086,0.18260464054612,0.065231883480209,-0.70932808452922,-9.8309958864731,0.12501701459409,0
5,0.045,0.0056461368171158,0.0023128038171158,0.15070418744499,0.13502332262995,-0.50111452439619,-9.824862263296,0.37501702259409,0
206,0.045,0.0050080710100274,0.0016747380100274,0.10417888176002,0.18609783234128,-0.32529142807536,-9.8125742022029,0.6250512754024,0
207,0.045,0.0045539111445473,0.0012205781445473,0.064839585807631,0.2167103153084,-0.19507459828184,-9.7941285166173,0.8750512834024,0
308,0.045,0.0038919173743809,0.00055858437438087,0.0079200669864805,0.29071511513752,0.063570783207781,-9.7808435929224,2.2652078372527,0
320,0.045,0.0044090715491344,0.0010757385491344,0.025488950810381,0.23542270482006,-0.065275578283206,-9.7535141702472,1.2490004170736,0
