x,y,interior,uz,uz_exact,uz_error,ur,ur_exact,ur_error,p,p_exact,p_error,mu_t,mu_t_exact,mu_t_error,mu_eff,mu_eff_exact,mu_eff_error
0.03125,0.03125,False,6.8777632508061e-05,0.0018258072723256191,-0.001757029639817558,-0.0017816529729805,-0.0017703714001982007,-1.1281572782299376e-05,0.023512231551647,3.0517578125e-05,0.023481713973522,0.0078969845281899,0.008100925700444208,-0.0002039411722543072,0.01789698452819,0.018100925700444206,-0.00020394117225420658
0.03125,0.09375,False,0.0004375292535512,0.0017689467404125025,-0.0013314174868613027,-0.00523507019969,-0.005228371719567804,-6.6984801221966345e-06,0.023716751953027,0.000274658203125,0.023442093749902,0.0094956694454608,0.009728557401012689,-0.00023288795555188868,0.019495669445461,0.01972855740101269,-0.00023288795555168745
0.03125,0.15625,False,0.0007033834000067,0.0016572394288232317,-0.0009538560288165317,-0.0086617205586058,-0.008441392583335983,-0.00022032797526981736,0.0241282657141,0.000762939453125,0.023365326260975,0.011879287128884,0.012129932770585869,-0.00025064564170186945,0.021879287128884,0.02212993277058587,-0.00025064564170186945
0.03125,0.21875,False,0.0007485673151616,0.0014947128420317313,-0.0007461455268701313,-0.011757125999781,-0.011256940979365027,-0.0005001850204159729,0.024684254040544,0.001495361328125,0.023188892712419,0.014284966654445,0.014594050913564319,-0.00030908425911931915,0.024284966654445,0.02459405091356432,-0.0003090842591193209
0.03125,0.28125,False,0.0006542704670273,0.0012874082367488882,-0.0006331377697215882,-0.014295516534393,-0.013538763832912082,-0.0007567527014809179,0.025395652958771,0.002471923828125,0.022923729130646,0.016325649458909,0.016713903856654423,-0.0003882543977454245,0.026325649458909,0.026713903856654425,-0.0003882543977454245
0.03125,0.34375,False,0.0005018654479944,0.0010433806219225517,-0.0005415151739281516,-0.016128138680725,-0.015173343981587095,-0.0009547946991379057,0.026312661376147,0.003692626953125,0.022620034423022,0.017793807998039,0.018249508275022617,-0.00045570027698361645,0.027793807998039,0.028249508275022615,-0.00045570027698361645
0.03125,0.40625,False,0.0003409039775312,0.0007726987587375334,-0.00043179478120633334,-0.017155560600371,-0.016076396150310757,-0.001079164450060243,0.027484464959497,0.005157470703125,0.022326994256372,0.018559007992356,0.01905392010823719,-0.0004949121158811902,0.028559007992356,0.029053920108237187,-0.0004949121158811867
0.03125,0.46875,False,0.0001936421979321,0.00048744516061560716,-0.00029380296268350715,-0.017323172762056,-0.016199362926272443,-0.0011238098357835569,0.028939091731722,0.006866455078125,0.022072636653597,0.018544775121291,0.019047617243375753,-0.0005028421220847519,0.028544775121291,0.029047617243375755,-0.0005028421220847554
0.03125,0.53125,False,6.4845664125981e-05,0.00020171609321550932,-0.00013687042908952832,-0.01662797088944,-0.015535910733888159,-0.001092060155551841,0.030677033304095,0.008819580078125,0.02185745322597,0.017733101905783,0.018212292830977427,-0.0004791909251944289,0.027733101905783,0.028212292830977426,-0.0004791909251944254
0.03125,0.59375,False,-4.8961270901717e-05,-6.837842556706164e-05,1.941715466534464e-05,-0.015125486475307,-0.014128425809758483,-0.0009970606655485183,0.032688347286135,0.011016845703125,0.021671501583009997,0.016171765859505,0.016592116748332213,-0.0004203508888272131,0.026171765859505,0.026592116748332215,-0.0004203508888272131
