id,mu_eff_out,mu_t_out,p,ur,uz,x,y,z
0,0.01030833555637,0.00030833555636989,0.023167399044749,9.3345015140633e-05,-0.0001700405576544,0.03125,0.03125,0
16,0.010572319069164,0.00057231906916392,0.023180700171559,-7.4326143358441e-05,-2.8359304433678e-05,0.03125,0.09375,0
32,0.011224898765306,0.001224898765306,0.023495223174713,-0.00061210358600301,5.4936981322648e-05,0.03125,0.15625,0
48,0.011896565435974,0.0018965654359745,0.024071197546367,-0.0013138822525451,0.00010404440146421,0.03125,0.21875,0
64,0.012544026415678,0.0025440264156775,0.024894840432702,-0.002039708747596,0.00012203327708466,0.03125,0.28125,0
80,0.013102867692814,0.0031028676928137,0.025965453710269,-0.0026841188909974,0.00011490719588738,0.03125,0.34375,0
96,0.013513157185012,0.0035131571850123,0.027286946724695,-0.0031694368256596,9.1578273551877e-05,0.03125,0.40625,0
112,0.013731391626361,0.003731391626361,0.028863693210684,-0.003444729372354,6.061804581986e-05,0.03125,0.46875,0
128,0.013735087703781,0.0037350877037807,0.030698469695596,-0.0034854774571878,2.8449967991648e-05,0.03125,0.53125,0
144,0.013524755371596,0.0035247553715964,0.032792621727204,-0.0032934411670687,-6.0162756988954e-07,0.03125,0.59375,0
160,0.013123273558314,0.0031232735583143,0.035148120105734,-0.0028956588885309,-2.3376248271187e-05,0.03125,0.65625,0
176,0.012575750142537,0.0025757501425373,0.037768561071,-0.002343366127631,-3.6009617320528e-05,0.03125,0.71875,0
192,0.011951901145071,0.0019519011450709,0.040660772416919,-0.0017082699782558,-3.566491014583e-05,0.03125,0.78125,0
208,0.011339224936122,0.001339224936122,0.043839401726484,-0.0010623221350511,-3.2170681746652e-05,0.03125,0.84375,0
224,0.010796166562658,0.00079616656265806,0.04731555889443,-0.00044479584310881,-5.1942011036272e-05,0.03125,0.90625,0
240,0.010312981524131,0.00031298152413136,0.051022565024945,5.7112047280883e-05,-4.807131088407e-05,0.03125,0.96875,0
1,0.010800085760431,0.00080008576043097,0.023198031332693,-7.7865165598219e-06,-0.00020982056469222,0.09375,0.03125,0
17,0.011554146473563,0.0015541464735625,0.023673282573036,-0.00049944734153976,0.00094203033894505,0.09375,0.09375,0
33,0.012410469907971,0.0024104699079714,0.024952355445935,-0.0017237983439929,0.001684196965359,0.09375,0.15625,0
49,0.012951673242877,0.0029516732428773,0.026994792497037,-0.0032800639633918,0.0020605345016865,0.09375,0.21875,0
65,0.013216804624079,0.0032168046240792,0.029781482773359,-0.0048715144594959,0.0021363977446126,0.09375,0.28125,0
81,0.013273093253405,0.0032730932534054,0.033307752603444,-0.0062788666093797,0.0019731474273451,0.09375,0.34375,0
97,0.013184686887049,0.003184686887049,0.037574012496858,-0.0073398945741308,0.0016284554841815,0.09375,0.40625,0
113,0.013012485389919,0.0030124853899186,0.042581873375904,-0.0079430575473468,0.0011592475736357,0.09375,0.46875,0
129,0.012812117612475,0.0028121176124745,0.048333290411689,-0.0080286306774779,0.00062557140557533,0.09375,0.53125,0
145,0.012624945726469,0.0026249457264688,0.054830440855203,-0.0075925144442694,9.0792062678078e-05,0.09375,0.59375,0
161,0.012463406904866,0.0024634069048661,0.062075623728677,-0.0066864095540745,-0.0003851236651762,0.09375,0.65625,0
177,0.01230876353983,0.0023087635398302,0.070069804564935,-0.0054156465544634,-0.00075027409874775,0.09375,0.71875,0
193,0.012130376761904,0.0021303767619042,0.078816606724391,-0.0039314621961467,-0.00096697547588563,0.09375,0.78125,0
209,0.011904577112432,0.0019045771124319,0.08834085605067,-0.0023927010410024,-0.0010218727066155,0.09375,0.84375,0
225,0.011549375064197,0.0015493750641966,0.098682627656049,-0.00090762611653639,-0.00090309627073244,0.09375,0.90625,0
241,0.010771593484956,0.00077159348495562,0.10971189791479,0.00027670909970736,-0.00044949116469081,0.09375,0.96875,0
2,0.011737714444024,0.0017377144440243,0.023302724714007,-0.00015810188070028,5.778258385146e-05,0.15625,0.03125,0
18,0.012380695198512,0.0023806951985124,0.024221746022866,-0.00086814706274124,0.0026255995996355,0.15625,0.09375,0
34,0.013220207629925,0.0032202076299253,0.026448937996076,-0.0024637579221074,0.0043021356933807,0.15625,0.15625,0
50,0.013712517720198,0.0037125177201984,0.029944390661122,-0.0044752315456873,0.0051340612802209,0.15625,0.21875,0
66,0.013822434288982,0.0038224342889819,0.034682988643906,-0.0065215410457446,0.0052608663514192,0.15625,0.28125,0
82,0.013623842464585,0.0036238424645851,0.040656077947265,-0.008318113791118,0.0048261208730693,0.15625,0.34375,0
98,0.013220976505362,0.0032209765053621,0.047861639759367,-0.0096582532917572,0.0039689147197824,0.15625,0.40625,0
114,0.012740500501421,0.0027405005014211,0.056299368207926,-0.010406319314315,0.0028258708124248,0.15625,0.46875,0
130,0.012332295232829,0.0023322952328292,0.065969113027622,-0.010495378661114,0.0015347247910951,0.15625,0.53125,0
146,0.012139979125908,0.0021399791259078,0.076870461570074,-0.0099232963122003,0.00023470466664668,0.15625,0.59375,0
162,0.012193095772925,0.0021930957729249,0.089003309427745,-0.0087456671047215,-0.00094209954003485,0.15625,0.65625,0
178,0.012354875309772,0.0023548753097719,0.10236619849844,-0.0070828935318875,-0.0018731389703026,0.15625,0.71875,0
194,0.012452020667767,0.0024520206677675,0.1169625644774,-0.0051265162222887,-0.0024501971266152,0.15625,0.78125,0
210,0.012389630974088,0.0023896309740883,0.13283205897471,-0.0030898743455316,-0.0025893901346065,0.15625,0.84375,0
226,0.012087394560384,0.0020873945603843,0.15004814247412,-0.0011140034519048,-0.002204079999694,0.15625,0.90625,0
242,0.011323678298159,0.0013236782981593,0.16841344389873,0.00047203186166134,-0.0010419208511805,0.15625,0.96875,0
3,0.012748432001957,0.002748432001957,0.023462946431642,-0.00030086501218508,0.00056646807981455,0.21875,0.03125,0
19,0.013036424881699,0.0030364248816992,0.024828782319139,-0.0010968530885734,0.0046782498792073,0.21875,0.09375,0
