x,y,interior,uz,uz_exact,uz_error,ur,ur_exact,ur_error,p,p_exact,p_error,mu_t,mu_t_exact,mu_t_error,mu_eff,mu_eff_exact,mu_eff_error
0.015625,0.578125,False,-2.7618361594073e-07,-8.459586311460043e-07,5.697750152052743e-07,-0.007951922536567,-0.007636501522782169,-0.00031542101378483067,0.016515583949486,0.005222320556640625,0.011293263392845376,0.018548623378447,0.018682309288408017,-0.0001336859099610177,0.028548623378447,0.028682309288408016,-0.00013368590996101423
0.015625,0.609375,False,-6.2085018142801e-06,-3.3912938057767406e-05,2.7704436243487305e-05,-0.007473424980107,-0.0071769763732021374,-0.0002964486069048627,0.017073557832056,0.005802154541015625,0.011271403291040375,0.017441970953802,0.01756741293164258,-0.00012544197784057978,0.027441970953802,0.027567412931642582,-0.00012544197784058325
0.015625,0.640625,False,-1.188099692077e-05,-6.449683699116804e-05,5.2615840070398034e-05,-0.0069108094501009,-0.00663652247716584,-0.00027428697293505923,0.017664234775997,0.006412506103515625,0.011251728672481375,0.016144472341953,0.016259813945289834,-0.00011534160333683333,0.026144472341953,0.026259813945289832,-0.00011534160333683333
0.015625,0.671875,False,-1.7314053239997e-05,-9.194789422650729e-05,7.463384098651029e-05,-0.0062749471062222,-0.006025554836398328,-0.00024939226982387177,0.018288231021928,0.007053375244140625,0.011234855777787375,0.014681886951589,0.01478491076080607,-0.00010302380921706905,0.024681886951589,0.02478491076080607,-0.00010302380921707252
0.015625,0.703125,False,-2.2513542453663e-05,-0.0001155838604987025,9.307031804503951e-05,-0.0055789401179939,-0.0053566732317023025,-0.00022226688629159788,0.018946209981978,0.007724761962890625,0.011221448019087376,0.013085204087527,0.013173434679109737,-8.823059158273583e-05,0.023085204087527,0.023173434679109737,-8.823059158273583e-05
0.015625,0.734375,False,-2.7403977475681e-05,-0.00013468999848242902,0.00010728602100674802,-0.00483825805837,-0.004644768797547272,-0.0001934892608227278,0.019638874182938,0.008426666259765625,0.011212207923172374,0.011390823774152,0.01146169126689963,-7.086749274762966e-05,0.021390823774152,0.021461691266899632,-7.086749274763313e-05
0.015625,0.765625,False,-3.173632793442e-05,-0.00014851908279212012,0.00011678275485770012,-0.0040708620019784,-0.003907130596658703,-0.0001637314053196965,0.020366919557879,0.009159088134765625,0.011207831423113376,0.0096406453221414,0.009691789324179531,-5.114400203813131e-05,0.019640645322141,0.01969178932417953,-5.114400203853203e-05
0.015625,0.796875,False,-3.4992536688334e-05,-0.00015629139998196706,0.00012129886329363306,-0.0032973141398482,-0.0031635521946071776,-0.0001337619452410222,0.021130889632277,0.009922027587890625,0.011208862044386377,0.0078820614995945,0.00791183911748059,-2.9777617886089444e-05,0.017882061499595,0.01791183911748059,-2.977761788559158e-05
0.015625,0.828125,False,-3.6339353660026e-05,-0.00015719474854591908,0.00012085539488589309,-0.0025408837710085,-0.002436438234397542,-0.00010444553661095781,0.021930913024659,0.010715484619140625,0.011215428405518375,0.006167925853134,0.0061760717043570406,-8.145851223040172e-06,0.016167925853134,0.01617607170435704,-8.14585122304104e-06
0.015625,0.859375,False,-3.4763462301827e-05,-0.00015038443891768338,0.00011562097661585639,-0.0018276513959955,-0.001750911011058065,-7.674038493743506e-05,0.022766400958275,0.011539459228515625,0.011226941729759375,0.004556660111773,0.004544737299505359,1.1922812267641317e-05,0.014556660111773,0.01454473729950536,1.1922812267639582e-05
