id,lm,mu_eff_out,mu_t_out,ur,uz,x,y,z
0,0.5,1.4521816129703,1.4488482799703,0.25390238896645,0.015387545802393,0.00390625,0.50390625,0
128,0.5,1.461678388503,1.458345055503,0.2618363618204,0.015484915185763,0.00390625,0.51171875,0
256,0.5,1.4719903440168,1.4686570110168,0.26989239579518,0.015583782559647,0.00390625,0.51953125,0
384,0.5,1.4824403564479,1.4791070234479,0.27807049089078,0.015684147924045,0.00390625,0.52734375,0
512,0.5,1.493027999784,1.489694666784,0.28637064710722,0.015786011278955,0.00390625,0.53515625,0
640,0.5,1.5037528588291,1.5004195258291,0.29479286444449,0.01588937262438,0.00390625,0.54296875,0
768,0.5,1.5146145292022,1.5112811962022,0.30333714290259,0.015994231960317,0.00390625,0.55078125,0
896,0.5,1.5256126173201,1.5222792843201,0.31200348248152,0.016100589286768,0.00390625,0.55859375,0
1024,0.5,1.5367467403661,1.5334134073661,0.32079188318127,0.016208444603732,0.00390625,0.56640625,0
1152,0.5,1.5480165262439,1.5446831932439,0.32970234500186,0.01631779791121,0.00390625,0.57421875,0
1280,0.5,1.5594216135189,1.5560882805189,0.33873486794328,0.016428649209201,0.00390625,0.58203125,0
1408,0.5,1.5709616513477,1.5676283183477,0.34788945200553,0.016540998497706,0.00390625,0.58984375,0
1536,0.5,1.5826362993958,1.5793029663958,0.35716609718861,0.016654845776724,0.00390625,0.59765625,0
1664,0.5,1.5944452277443,1.5911118947443,0.36656480349251,0.016770191046255,0.00390625,0.60546875,0
1792,0.5,1.6063881167881,1.6030547837881,0.37608557091725,0.0168870343063,0.00390625,0.61328125,0
1920,0.5,1.6184646571238,1.6151313241238,0.38572839946282,0.017005375556858,0.00390625,0.62109375,0
2048,0.5,1.6306745494297,1.6273412164297,0.39549328912922,0.017125214797929,0.00390625,0.62890625,0
2176,0.5,1.6430175043385,1.6396841713385,0.40538023991645,0.017246552029514,0.00390625,0.63671875,0
2304,0.5,1.6554932423029,1.6521599093029,0.4153892518245,0.017369387251612,0.00390625,0.64453125,0
2432,0.5,1.6681014934541,1.6647681604541,0.42552032485339,0.017493720464224,0.00390625,0.65234375,0
2560,0.5,1.6808419974562,1.6775086644562,0.43577345900311,0.017619551667349,0.00390625,0.66015625,0
2688,0.5,1.693714503354,1.690381170354,0.44614865427366,0.017746880860988,0.00390625,0.66796875,0
2816,0.5,1.706718769417,1.703385436417,0.45664591066504,0.017875708045139,0.00390625,0.67578125,0
2944,0.5,1.7198545629791,1.7165212299791,0.46726522817724,0.018006033219805,0.00390625,0.68359375,0
3072,0.5,1.7331216602753,1.7297883272753,0.47800660681028,0.018137856384983,0.00390625,0.69140625,0
3200,0.5,1.7465198462747,1.7431865132747,0.48887004656415,0.018271177540675,0.00390625,0.69921875,0
3328,0.5,1.7600489145114,1.7567155815114,0.49985554743885,0.018405996686881,0.00390625,0.70703125,0
3456,0.5,1.7737086669131,1.7703753339131,0.51096310943437,0.018542313823599,0.00390625,0.71484375,0
3584,0.5,1.7874989136283,1.7841655806283,0.52219273255073,0.018680128950832,0.00390625,0.72265625,0
3712,0.5,1.8014194728517,1.7980861398517,0.53354441678792,0.018819442068577,0.00390625,0.73046875,0
3840,0.5,1.8154701706487,1.8121368376487,0.54501816214594,0.018960253176836,0.00390625,0.73828125,0
3968,0.5,1.82965084078,1.82631750778,0.55661396862478,0.019102562275609,0.00390625,0.74609375,0
4096,0.5,1.8439613245248,1.8406279915248,0.56833183622446,0.019246369364894,0.00390625,0.75390625,0
4224,0.5,1.858401470505,1.855068137505,0.58017176494497,0.019391674444694,0.00390625,0.76171875,0
4352,0.5,1.872971134509,1.869637801509,0.59213375478631,0.019538477515006,0.00390625,0.76953125,0
4480,0.5,1.8876701793163,1.8843368463163,0.60421780574847,0.019686778575832,0.00390625,0.77734375,0
4608,0.5,1.902498474523,1.899165141523,0.61642391783147,0.019836577627172,0.00390625,0.78515625,0
4736,0.5,1.9174558963678,1.9141225633678,0.6287520910353,0.019987874669024,0.00390625,0.79296875,0
4864,0.5,1.9325423275603,1.9292089945603,0.64120232535996,0.02014066970139,0.00390625,0.80078125,0
4992,0.5,1.9477576571091,1.9444243241091,0.65377462080544,0.02029496272427,0.00390625,0.80859375,0
5120,0.5,1.9631017801533,1.9597684471533,0.66646897737176,0.020450753737663,0.00390625,0.81640625,0
5248,0.5,1.9785745977939,1.9752412647939,0.67928539505891,0.020608042741569,0.00390625,0.82421875,0
5376,0.5,1.9941760169287,1.9908426839287,0.69222387386688,0.020766829735989,0.00390625,0.83203125,0
5504,0.5,2.0099059500881,2.0065726170881,0.70528441379569,0.020927114720922,0.00390625,0.83984375,0
5632,0.5,2.0257643152735,2.0224309822735,0.71846701484533,0.021088897696369,0.00390625,0.84765625,0
5760,0.5,2.041751035798,2.038417702798,0.7317716770158,0.021252178662328,0.00390625,0.85546875,0
5888,0.5,2.0578660401294,2.0545327071294,0.74519840030709,0.021416957618802,0.00390625,0.86328125,0
6016,0.5,2.0741092617353,2.0707759287353,0.75874718471922,0.021583234565788,0.00390625,0.87109375,0
6144,0.5,2.0904806389311,2.0871473059311,0.77241803025218,0.021751009503288,0.00390625,0.87890625,0
6272,0.5,2.1069801147306,2.1036467817306,0.78621093690596,0.021920282431302,0.00390625,0.88671875,0
6400,0.5,2.1236076366985,2.1202743036985,0.80012590468058,0.022091053349829,0.00390625,0.89453125,0
6528,0.5,2.1403631568069,2.1370298238069,0.81416293357603,0.022263322258869,0.00390625,0.90234375,0
6656,0.5,2.1572466312932,2.1539132982932,0.82832202359231,0.022437089158423,0.00390625,0.91015625,0
6784,0.5,2.1742580205214,2.1709246875214,0.84260317472941,0.02261235404849,0.00390625,0.91796875,0
6912,0.5,2.191397288846,2.188063955846,0.85700638698735,0.02278911692907,0.00390625,0.92578125,0
7040,0.5,2.2086644044792,2.2053310714792,0.87153166036612,0.022967377800164,0.00390625,0.93359375,0
7168,0.5,2.2260593393599,2.2227260063599,0.88617899486571,0.023147136661771,0.00390625,0.94140625,0
7296,0.5,2.2435820690263,2.2402487360263,0.90094839048614,0.023328393513892,0.00390625,0.94921875,0
7424,0.5,2.2612325724912,2.2578992394912,0.9158398472274,0.023511148356526,0.00390625,0.95703125,0
7552,0.5,2.2790108321198,2.2756774991198,0.93085336508948,0.023695401189673,0.00390625,0.96484375,0
7680,0.5,2.2969168335109,2.2935835005109,0.9459889440724,0.023881152013334,0.00390625,0.97265625,0
7808,0.5,2.3149505653802,2.3116172323802,0.96124658417615,0.024068400827508,0.00390625,0.98046875,0
7936,0.5,2.3331120194465,2.3297786864465,0.97662628540072,0.024257147632196,0.00390625,0.98828125,0
8064,0.5,2.3514011903215,2.3480678573215,0.99212804774613,0.024447392427397,0.00390625,0.99609375,0
8192,0.5,2.3698180754014,2.3664847424014,1.0077518712124,0.024639135213111,0.00390625,1.00390625,0
8320,0.5,2.3883626747611,2.3850293417611,1.0234977557994,0.024832375989339,0.00390625,1.01171875,0
8448,0.5,2.4070349910523,2.4037016580523,1.0393657015073,0.02502711475608,0.00390625,1.01953125,0
8576,0.5,2.4258350294031,2.4225016964031,1.0553557083361,0.025223351513335,0.00390625,1.02734375,0
8704,0.5,2.4447627973205,2.4414294643205,1.0714677762856,0.025421086261103,0.00390625,1.03515625,0
8832,0.5,2.4638183045957,2.4604849715957,1.087701905356,0.025620318999384,0.00390625,1.04296875,0
8960,0.5,2.483001563212,2.479668230212,1.1040580955472,0.025821049728179,0.00390625,1.05078125,0
9088,0.5,2.5023125872552,2.4989792542552,1.1205363468593,0.026023278447487,0.00390625,1.05859375,0
9216,0.5,2.521751392826,2.518418059826,1.1371366592921,0.026227005157308,0.00390625,1.06640625,0
9344,0.5,2.5413179979555,2.5379846649555,1.1538590328458,0.026432229857643,0.00390625,1.07421875,0
9472,0.5,2.5610124225226,2.5576790895226,1.1707034675204,0.026638952548492,0.00390625,1.08203125,0
9600,0.5,2.5808346881746,2.5775013551746,1.1876699633157,0.026847173229853,0.00390625,1.08984375,0
9728,0.5,2.6007848182488,2.5974514852488,1.2047585202319,0.027056891901728,0.00390625,1.09765625,0
9856,0.5,2.6208628376973,2.6175295046973,1.221969138269,0.027268108564117,0.00390625,1.10546875,0
9984,0.5,2.6410687730141,2.6377354400141,1.2393018174268,0.027480823217019,0.00390625,1.11328125,0
10112,0.5,2.6614026521641,2.6580693191641,1.2567565577055,0.027695035860434,0.00390625,1.12109375,0
10240,0.5,2.6818645045138,2.6785311715138,1.274333359105,0.027910746494363,0.00390625,1.12890625,0
10368,0.5,2.7024543607651,2.6991210277651,1.2920322216254,0.028127955118805,0.00390625,1.13671875,0
10496,0.5,2.7231722528903,2.7198389198903,1.3098531452666,0.02834666173376,0.00390625,1.14453125,0
10624,0.5,2.7440182140697,2.7406848810697,1.3277961300286,0.028566866339229,0.00390625,1.15234375,0
10752,0.5,2.7649922786307,2.7616589456307,1.3458611759114,0.028788568935211,0.00390625,1.16015625,0
10880,0.5,2.7860944819891,2.7827611489891,1.3640482829151,0.029011769521707,0.00390625,1.16796875,0
11008,0.5,2.8073248605921,2.8039915275921,1.3823574510396,0.029236468098716,0.00390625,1.17578125,0
11136,0.5,2.8286834518636,2.8253501188636,1.4007886802849,0.029462664666238,0.00390625,1.18359375,0
11264,0.5,2.8501702941506,2.8468369611506,1.419341970651,0.029690359224274,0.00390625,1.19140625,0
11392,0.5,2.8717854266715,2.8684520936715,1.438017322138,0.029919551772823,0.00390625,1.19921875,0
11520,0.5,2.8935288894671,2.8901955564671,1.4568147347458,0.030150242311886,0.00390625,1.20703125,0
11648,0.5,2.9154007233516,2.9120673903516,1.4757342084745,0.030382430841462,0.00390625,1.21484375,0
11776,0.5,2.9374009698663,2.9340676368663,1.494775743324,0.030616117361551,0.00390625,1.22265625,0
11904,0.5,2.9595296712351,2.9561963382351,1.5139393392943,0.030851301872154,0.00390625,1.23046875,0
12032,0.5,2.9817868703205,2.9784535373205,1.5332249963854,0.03108798437327,0.00390625,1.23828125,0
12160,0.5,3.0041726105821,3.0008392775821,1.5526327145974,0.0313261648649,0.00390625,1.24609375,0
12288,0.5,3.0266869360358,3.0233536030358,1.5721624939302,0.031565843347043,0.00390625,1.25390625,0
12416,0.5,3.0493298912153,3.0459965582153,1.5918143343838,0.031807019819699,0.00390625,1.26171875,0
12544,0.5,3.0721015211338,3.0687681881338,1.6115882359582,0.032049694282869,0.00390625,1.26953125,0
12672,0.5,3.0950018712483,3.0916685382483,1.6314841986535,0.032293866736552,0.00390625,1.27734375,0
12800,0.5,3.1180309874241,3.1146976544241,1.6515022224696,0.032539537180749,0.00390625,1.28515625,0
12928,0.5,3.1411889159015,3.1378555829015,1.6716423074066,0.032786705615459,0.00390625,1.29296875,0
13056,0.5,3.164475703263,3.161142370263,1.6919044534644,0.033035372040682,0.00390625,1.30078125,0
13184,0.5,3.1878913964021,3.1845580634021,1.712288660643,0.033285536456419,0.00390625,1.30859375,0
13312,0.5,3.2114360424933,3.2081027094933,1.7327949289424,0.033537198862669,0.00390625,1.31640625,0
13440,0.5,3.235109688963,3.231776355963,1.7534232583627,0.033790359259432,0.00390625,1.32421875,0
13568,0.5,3.2589123834616,3.2555790504616,1.7741736489038,0.034045017646709,0.00390625,1.33203125,0
13696,0.5,3.2828441738365,3.2795108408365,1.7950461005657,0.0343011740245,0.00390625,1.33984375,0
13824,0.5,3.3069051081066,3.3035717751066,1.8160406133485,0.034558828392803,0.00390625,1.34765625,0
13952,0.5,3.3310952344375,3.3277619014375,1.837157187252,0.03481798075162,0.00390625,1.35546875,0
14080,0.5,3.3554146011173,3.3520812681173,1.8583958222765,0.035078631100951,0.00390625,1.36328125,0
14208,0.5,3.3798632565342,3.3765299235342,1.8797565184217,0.035340779440795,0.00390625,1.37109375,0
14336,0.5,3.4044412491543,3.4011079161543,1.9012392756878,0.035604425771152,0.00390625,1.37890625,0
14464,0.5,3.4291486275004,3.4258152945004,1.9228440940747,0.035869570092023,0.00390625,1.38671875,0
14592,0.5,3.453985440132,3.450652107132,1.9445709735824,0.036136212403407,0.00390625,1.39453125,0
14720,0.5,3.478951735626,3.475618402626,1.966419914211,0.036404352705304,0.00390625,1.40234375,0
14848,0.5,3.5040475625577,3.5007142295577,1.9883909159604,0.036673990997715,0.00390625,1.41015625,0
14976,0.5,3.5292729694834,3.5259396364834,2.0104839788306,0.036945127280639,0.00390625,1.41796875,0
15104,0.5,3.5546280049234,3.5512946719234,2.0326991028217,0.037217761554077,0.00390625,1.42578125,0
15232,0.5,3.5801127173453,3.5767793843453,2.0550362879335,0.037491893818028,0.00390625,1.43359375,0
15360,0.5,3.6057271551487,3.6023938221487,2.0774955341663,0.037767524072492,0.00390625,1.44140625,0
15488,0.5,3.6314713666503,3.6281380336503,2.1000768415198,0.03804465231747,0.00390625,1.44921875,0
15616,0.5,3.6573454000696,3.6540120670696,2.1227802099942,0.038323278552961,0.00390625,1.45703125,0
